lat,lon,day,sst,ssh,sss,wind,u_wind,v_wind,curl,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,temp_0m,temp_5m,temp_10m,temp_20m,temp_30m,temp_50m,temp_75m,temp_100m,temp_125m,temp_150m,temp_200m,temp_300m,temp_500m,temp_700m,temp_1000m
24.3489,73.6504,0,27.7873,0.0526,34.7807,5.5242,-5.0432,-2.2544,0.0092,False,False,False,False,True,False,28.0839,26.7749,25.4533,23.8323,22.4764,20.2688,18.911,17.7961,16.3627,14.8228,14.1574,12.5787,11.6919,9.852,9.5428
15.972,90.686,50,29.8029,-0.1088,34.5817,3.2709,2.9115,-1.4906,0.0591,False,False,False,False,False,True,29.9018,28.5209,26.7265,25.0511,22.6441,20.5797,18.3366,16.5582,15.5975,14.5413,13.1464,11.8717,10.2433,10.0,9.023
26.4649,99.1997,67,28.1341,0.0369,34.3588,4.5851,4.1663,1.9144,0.0473,False,True,False,False,False,False,28.5316,27.152,26.0185,24.5592,22.3881,20.8323,19.4758,17.4708,16.3451,15.6152,14.4264,11.9719,10.512,10.3142,9.416
22.4342,88.2418,49,28.7529,-0.0359,34.5837,3.2905,2.2503,-2.4007,0.0486,False,True,False,False,False,False,27.928,27.3966,26.2744,24.2879,23.1857,20.8566,18.3726,16.3,16.0119,15.1263,13.7903,12.4754,10.379,10.6276,9.1724
7.3544,102.7927,34,29.2426,0.0063,34.2751,4.4789,4.2042,-1.5442,0.0438,True,False,False,False,False,False,29.1643,28.265,26.989,25.0204,23.9301,21.0872,18.5204,17.29,16.5418,15.59,13.6736,12.3155,10.799,10.1028,9.1859
29.3906,91.9203,74,27.3713,0.05,34.5023,4.9911,4.8761,1.0649,0.0453,False,True,False,False,False,False,27.3275,26.2447,25.4953,23.6359,22.2243,20.2199,18.4286,16.8801,16.2096,15.5333,13.5815,12.5159,10.9167,10.331,9.6118
24.0285,97.0081,33,27.1272,-0.0498,34.3909,3.939,3.2562,-2.2165,0.0205,False,True,False,False,False,False,26.4629,26.0208,25.2078,23.0129,21.7763,19.2055,17.4655,15.6501,14.4111,14.6033,12.8717,11.6491,10.0508,9.4064,9.2662
24.6516,51.8462,63,27.7561,0.0186,35.0127,3.8541,-1.9033,-3.3514,-0.0445,False,False,False,False,True,False,27.8277,27.1208,25.3364,23.9441,22.9016,20.7694,18.0166,16.9313,16.3534,15.2499,13.9069,12.2604,10.7294,10.2055,9.4569
8.2028,88.9448,41,29.2752,-0.1931,34.5919,4.7533,3.0415,-3.6528,0.021,False,False,False,False,False,True,30.1495,27.0218,26.1891,23.5091,22.0981,19.332,17.4003,16.0624,14.7074,14.1856,12.0046,11.8657,10.284,9.921,8.7782
16.2596,71.4053,2,28.3231,0.2778,34.8523,5.1741,-4.8392,-1.8313,0.008,False,False,True,False,False,False,28.6485,27.0982,27.2705,25.8029,24.699,22.5649,21.4213,19.1703,18.9716,17.404,16.4236,14.4659,12.8243,11.3561,10.3051
14.27,78.1862,47,29.1205,-0.0043,34.8187,4.1676,1.763,-3.7764,0.0011,True,False,False,False,False,False,29.0495,27.4004,26.8768,24.3467,23.5589,21.0036,19.5831,17.0233,16.1791,15.855,14.3642,12.215,10.9643,10.1543,9.6398
28.1691,84.2461,4,26.9122,0.0029,34.6592,5.1843,-2.5259,-4.5274,-0.0005,False,True,False,False,False,False,27.0472,25.7398,24.3412,23.4504,21.8936,19.4562,17.7147,15.9926,15.1087,14.4511,13.8029,11.8148,10.8187,9.7922,9.4857
21.0966,103.1889,83,28.2358,0.0489,34.3968,4.6876,3.2501,3.3779,-0.0174,False,True,False,False,False,False,27.8212,27.0195,25.8526,24.7046,23.0687,21.7598,18.5582,17.6885,16.1735,15.48,14.3587,12.0022,11.1797,10.8933,9.5476
25.569,104.0747,54,28.8104,-0.0063,34.3904,3.9952,3.674,1.5697,0.0699,False,True,False,False,False,False,28.1277,27.7676,26.4446,24.3128,23.1335,20.5845,18.533,17.3822,15.6727,15.5078,13.4863,12.1496,11.4239,10.4545,9.5573
16.0854,62.2937,33,27.9408,0.0241,34.911,4.606,-2.7384,-3.7035,-0.0477,False,False,False,True,False,False,27.9136,26.8274,25.784,23.7207,22.5973,20.8459,18.2003,17.1223,15.842,15.262,13.8452,12.8577,11.058,9.7724,9.7686
10.681,89.0252,43,29.1114,-0.2264,34.5578,4.7611,3.2454,-3.4835,0.0292,False,False,False,False,False,True,29.3793,27.0538,25.5657,23.1172,21.2956,19.1761,16.9138,15.8109,14.9522,13.1897,12.4326,10.8083,9.7842,9.2925,8.7422
18.8646,89.999,55,29.3556,-0.0479,34.5634,2.8226,2.697,-0.8326,0.0688,False,True,False,False,False,False,29.0803,28.8511,26.6854,24.8456,22.8216,21.2737,18.9601,17.189,15.5541,15.1342,13.4454,12.6756,11.0041,10.0766,8.7452
6.5954,65.7896,23,28.9545,0.0681,34.9407,4.6359,-3.2757,-3.2804,-0.027,False,False,False,True,False,False,28.4769,27.997,27.263,24.812,23.9221,21.8099,19.6184,17.6517,16.9496,16.0259,14.7026,12.8698,11.2121,10.4916,9.9503
25.6908,52.4322,25,27.3042,-0.0444,34.9717,4.689,-4.4205,-1.5638,-0.0089,False,False,False,False,True,False,27.4473,26.0925,25.0362,23.5142,21.1855,18.9699,17.7129,16.2502,15.2702,14.2772,13.4472,12.127,10.6535,9.7825,8.709
20.7916,47.4568,37,27.8975,-0.0493,35.0611,3.8357,-3.6618,-1.1417,-0.0331,False,False,False,False,True,False,28.0996,26.8976,25.9987,23.4049,22.0945,20.1039,17.9048,16.1324,15.5287,14.7518,13.4046,12.0064,10.4901,10.3478,9.1022
23.9522,91.6406,23,27.1191,-0.0357,34.5439,5.6399,2.7125,-4.9448,-0.0244,False,True,False,False,False,False,26.726,25.3234,24.8984,22.7887,21.5782,19.7135,17.4126,16.3079,15.1226,14.6152,13.393,11.6454,10.4639,10.1793,9.4638
13.8631,74.382,68,28.8277,0.132,34.8402,2.8267,1.8258,-2.158,0.06,False,False,True,False,False,False,29.1349,28.0014,27.1251,25.5366,24.537,22.1681,20.4102,19.1253,17.5347,16.5819,14.99,13.2324,11.1801,11.0258,10.5903
29.2675,104.1324,9,26.8889,-0.0188,34.2569,5.1073,3.7963,-3.4166,-0.0164,False,True,False,False,False,False,26.7519,25.778,24.1339,23.104,21.3106,19.5557,17.1459,16.4249,15.5506,14.2132,12.9463,11.2408,10.4619,9.7137,8.8973
27.328,72.8984,74,27.519,0.0537,34.804,4.3494,2.5301,-3.5377,0.0647,False,False,False,False,True,False,27.8404,26.6917,25.5627,24.2131,22.3633,20.6464,18.7869,17.2015,16.3958,15.1765,14.2938,12.7391,10.1528,10.6202,8.727
24.4596,103.675,31,27.2503,-0.049,34.3967,4.1083,3.5353,-2.0928,0.036,False,True,False,False,False,False,26.9222,26.3418,24.3854,23.4984,21.6872,19.1378,17.3934,15.8893,15.4255,14.5861,12.6894,11.6927,10.2263,10.2312,8.9233
